State,Website Category,Website Name (and County if applicable),URL,URL Type (State/County),Type,Content Provided,Subpage allowed
AK,State Court System,Alaska Court System - SC-100 Small Claims Handbook,https://public.courts.alaska.gov/web/forms/docs/sc-100.pdf,State URL,PDF,"Comprehensive handbook providing detailed rules and procedures for small claims cases in Alaska, including how to start a case, respond if sued, and prepare for trial. References other forms available on the court system's website.",
AK,State Court System,Alaska Court System - SC-95 Small Claims Information Sheet,https://public.courts.alaska.gov/web/forms/docs/sc-95.pdf,State URL,PDF,"An information sheet summarizing key aspects of small claims cases in Alaska, comparing them to formal civil procedures, and listing jurisdictional limits and key differences.",
AK,State Court System,Alaska Court System - Small Claims Self-Help Center,https://courts.alaska.gov/shc/sc/index.htm,State URL,Webpage,"Provides general information and links to small claims forms and handbooks, including the SC-100 Small Claims Handbook.",
AL,State-Affiliated Resource,AlabamaLegalHelp.org - Alabama Small Claims Rules,https://www.alabamalegalhelp.org/resource/alabama-small-claims-rules,State URL,Webpage,Provides a guide to Alabama Small Claims Courts and mentions the availability of Alabama Small Claims Rules (linking to judicial.alabama.gov for rules/guide).,
AL,State Judicial Branch,Alabama Judicial System - Small Claims (via AlabamaLegalHelp.org reference),https://www.transcend.net/library/plmap/AL/SmallClaimsQA_Orig.pdf,State URL,PDF,"A PDF document titled ""ALABAMA'S SMALL CLAIMS COURT QUESTIONS and ANSWERS,"" detailing procedures, filing a claim, what happens after filing, and trial information. (Note: While hosted on transcend.net, this appears to be an official guide referenced by AlabamaLegalHelp.org).",
AR,State-Affiliated Legal Aid,Arkansas Law Help - Self-Help Forms - Individual (Small Claims),https://a.arlawhelp.org/self-help-forms/individual,State URL,Webpage,"Provides links to various individual self-help forms, including ""Small Claims Answer Form 2020,"" ""Small Claims Complaint Form 2020,"" and ""Small Claims Notice to Defendant Form,"" which are likely PDFs or fillable forms.",
AR,County District Court (Rules/Info),Pulaski County District Court - Small Claims Court in Arkansas,https://pulaskicountydc.com/wp-content/uploads/2022/04/Small-Claims-AOC-Handout.pdf,County URL,PDF,"A PDF handout explaining small claims court in Arkansas, including what you can sue for, who can file, and general procedures. It also includes sample claim and summons forms.",
AR,City/County District Court (Rules/Forms),"Fayetteville, AR - Official Website - Civil and Small Claims Information",https://www.fayetteville-ar.gov/521/Civil-and-Small-Claims-Information,County URL,Webpage,"Provides information on filing civil actions and small claims in Fayetteville District Court, including filing fees, who can file, and general process. States that forms are acquired at the District Court.",
AZ,State Judicial Branch (Forms),AZCourtHelp.org - Forms for Filing a Small Claims Case in Arizona Justice Court,https://azcourthelp.org/forms/small-claim-forms,State URL,Webpage,"Provides direct links to downloadable PDF forms for small claims cases in Arizona, including Complaint, Summons, Answer, Counterclaim, and various instructions and checklists.",
AZ,County Justice Court (Rules/Forms),"The Judicial Branch of Arizona, Mohave County Superior Court - Small Claims (Under $3,500) Forms & Kits",https://www.mohavecourts.com/forms-kits-page/civil-lawsuits-small-claims-forms-kits/small-claims-under-3500-forms-kits,County URL,Webpage,"Offers information on small claims court in Arizona, including jurisdictional limits, procedures, and links to some forms. Notes that formal rules of procedure do not apply.",
AZ,County Justice Court (Rules/Forms),Pima County Justice Court - Small Claims,https://www.jp.pima.gov/Info/CaseTypes/SmallClaims.html,County URL,Webpage,"Provides detailed information on small claims procedures in Pima County, including how to file, service, default judgments, and links to a ""Small Claims Plaintiff Packet"" (CVSCPK1) and e-filing options.",
CA,Statewide Judicial Council,California Courts - Self-Help Guide,https://selfhelp.courts.ca.gov/small-claims-california,State URL,Webpage,"Comprehensive information on small claims basics, process, starting a case, responding if sued, collecting judgments, and special rules for COVID-19 rental debt cases. Includes links to official Judicial Council forms.",No
CA,Statewide Judicial Council,California Courts - Small Claims Forms,https://selfhelp.courts.ca.gov/small-claims-forms,State URL,Webpage,"Direct access to official Judicial Council small claims forms with descriptions of their purpose, including forms for starting a case (SC-100), adding parties (SC-100A), fictitious business names (SC-103), attorney fee disputes (SC-101), authorization to appear (SC-109), proof of service (SC-104), defendant's claims (SC-120), and collection forms (SC-290, SC-134, SC-107).",No
CA,County Superior Court (General Information/Rules),"Superior Court of California, County of Orange - Self-Help Small Claims",https://www.occourts.org/self-help/self-help-small-claims,County URL,Webpage,"Provides a general overview of small claims court, links to forms, local rules (Rule 341-348), and relevant sections of the Code of Civil Procedure (116.210-116.950) and California Rules of Court (Rule 3.2100-3.2120).",No
CA,County Superior Court (Forms),"Superior Court of California, County of Orange - Filing Your Claim",https://www.occourts.org/self-help/self-help-small-claims/filing-your-claim,County URL,Webpage,"Details the forms needed to file a small claims case (SC-100, SC-100-INFO, SC-101, SC-103) and how to obtain them, including options for online completion and e-filing.",
CA,County Superior Court (Rules & Forms),"Superior Court of California, County of San Bernardino - Small Claims",https://www.sb-court.org/divisions/small-claims,County URL,Webpage,"Provides general information about small claims court, filing fees, service of process rules, and specifically mentions the Plaintiff's Claim and Order to Go to Small Claims Court (Form SC-100) and San Bernardino County's eFiling option.",
CA,County Superior Court (Rules & Forms),"Superior Court of California, County of Los Angeles - Small Claims Division",https://www.lacourt.org/division/smallclaims/smallclaims.aspx,County URL,Webpage,"Offers information on the small claims division, links to statewide Judicial Council forms, and notes on local approved forms and e-filing.",
CA,County Superior Court (Forms Packets),"Superior Court of California, County of San Joaquin - Form Packets – Small Claims",https://www.sjcourts.org/form-packets/form-packets-small-claims/,County URL,Webpage,"Provides a list of downloadable small claims forms by number and name, including SC-100, SC-100-INFO, SC-104, SC-109, and COVID-19 related forms, with direct links to the Judicial Council forms. Also links to the main California Courts self-help page.",
CA,County Superior Court (Rules & Forms),Contra Costa Superior Court - SMALL CLAIMS PACKET,https://cc-courts.org/forms/packets/SC01-SmallClaimsPacket.pdf,County URL,PDF,"A downloadable PDF packet with instructions and references to forms for Contra Costa County, directing users to the Judicial Council website for many forms. Mentions specific local forms like Request for Certified Mail (SC-13).",
CA,County Agency (Information/Rules),Los Angeles County Department of Consumer and Business Affairs - How to Sue in Small Claims Court,https://dcba.lacounty.gov/portfolio/how-to-suue-in-small-claims-court/,County URL,Webpage,"Offers detailed information on how to sue in small claims court, including jurisdictional limits, timelines, preparation for court, and evidence. References Judicial Council forms and local LASC CIV forms.",
CA,County Agency (Information/Rules),Public Counsel - What you need to know about small claims court,https://publiccounsel.org/wp-content/uploads/2021/12/Small-Claims-Court-5-15-2025.pdf,County URL,PDF,"Provides a guide to small claims court in California, including jurisdictional limits for individuals and businesses, who must appear, and steps to start a case, with reference to the Judicial Council of California website for forms (SC-100).",
CA,Los Angeles County Superior Court,Small Claims - LA Court,https://www.lacourt.org/online/smallclaims,County URL,Webpage,Small Claims - LA Court,
CA,Alameda County Superior Court,"Small Claims - Superior Court of California, County of Alameda",https://www.alameda.courts.ca.gov/self-help/small-claims,County URL,Webpage,"Small Claims - Superior Court of California, County of Alameda",
CA,Orange County Superior Court,Small Claims - Superior Court of Orange County,https://www.occourts.org/self-help/small-claims,County URL,Webpage,Small Claims - Superior Court of Orange County,
CA,Sacramento County Superior Court,"Small Claims - Superior Court of California, County of Sacramento",https://www.saccourt.ca.gov/small-claims/default.aspx,County URL,Webpage,"Small Claims - Superior Court of California, County of Sacramento",
CA,San Diego Superior Court,"Small Claims - Superior Court of California, County of San Diego",https://www.sdcourt.ca.gov/sdcourt/selfhelp/smallclaims,County URL,Webpage,"Small Claims - Superior Court of California, County of San Diego",
CO,State Judicial Branch,Colorado Judicial Branch - JDF 250 - Small Claims Notice and Summons,https://www.coloradojudicial.gov/sites/default/files/2024-05/JDF250.pdf,State URL,PDF,"A direct link to the official ""Small Claims Notice and Summons"" form, which also contains instructions for both plaintiffs and defendants regarding defending a claim, counterclaims, and trial preparation.",
CO,State Judicial Branch,Colorado Judicial Branch - Self Help - Forms - Money Cases Small Claims,https://www.courts.state.co.us/Forms/Forms_List.cfm?Form_Type_ID=9,State URL,Webpage,"Provides an overview of small claims cases in Colorado, including links to small claims rules, local practices, FAQs, and instructions for collecting a judgment.",
CO,State Judicial Branch,Colorado Judicial Branch - Forms - Small Claims,https://www.courts.state.co.us/Forms/SubCategory.cfm?Category=Small,State URL,Webpage,"Directs users to small claims forms and instructions, emphasizing that small claims court handles specific case types and refers to the Money Cases page for guides and forms.",
CO,State Judicial Branch,Colorado Judicial Branch - Self-Help Forms,https://www.coloradojudicial.gov/self-help-forms,State URL,Webpage,"A comprehensive forms library with categories, including ""Small Claims Cases,"" where users can find various official JDF forms (many are downloadable PDFs).",
